
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:62218        127.0.0.1:62219        ESTABLISHED     11712
  TCP    127.0.0.1:62219        127.0.0.1:62218        ESTABLISHED     11712
  TCP    127.0.0.1:64725        127.0.0.1:64726        ESTABLISHED     12660
  TCP    127.0.0.1:64726        127.0.0.1:64725        ESTABLISHED     12660
  TCP    127.0.0.1:64769        127.0.0.1:64770        ESTABLISHED     17508
  TCP    127.0.0.1:64770        127.0.0.1:64769        ESTABLISHED     17508
  TCP    127.0.0.1:64795        127.0.0.1:64796        ESTABLISHED     5220
  TCP    127.0.0.1:64796        127.0.0.1:64795        ESTABLISHED     5220
  TCP    127.0.0.1:64797        127.0.0.1:64798        ESTABLISHED     5108
  TCP    127.0.0.1:64798        127.0.0.1:64797        ESTABLISHED     5108
  TCP    127.0.0.1:65516        127.0.0.1:65517        ESTABLISHED     11428
  TCP    127.0.0.1:65517        127.0.0.1:65516        ESTABLISHED     11428
  TCP    192.168.1.118:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.118:49896    44.228.106.27:443      ESTABLISHED     8660
  TCP    192.168.1.118:50141    93.184.220.29:80       CLOSE_WAIT      11624
  TCP    192.168.1.118:61097    34.120.208.123:443     TIME_WAIT       0
  TCP    192.168.1.118:61211    35.155.242.103:443     ESTABLISHED     8660
  TCP    192.168.1.118:61217    13.225.244.12:443      ESTABLISHED     8660
  TCP    192.168.1.118:61218    35.155.242.103:443     ESTABLISHED     8660
  TCP    192.168.1.118:61229    54.171.211.30:443      TIME_WAIT       0
  TCP    192.168.1.118:61233    13.225.242.59:80       TIME_WAIT       0
  TCP    192.168.1.118:61260    34.233.198.188:443     ESTABLISHED     8660
  TCP    192.168.1.118:61263    146.75.89.44:443       ESTABLISHED     8660
  TCP    192.168.1.118:61267    13.225.244.124:443     ESTABLISHED     8660
  TCP    192.168.1.118:61270    151.101.134.49:443     ESTABLISHED     8660
  TCP    192.168.1.118:61274    141.226.228.48:443     ESTABLISHED     8660
  TCP    192.168.1.118:61278    93.184.220.29:80       TIME_WAIT       0
  TCP    192.168.1.118:61282    146.75.89.44:443       ESTABLISHED     8660
  TCP    192.168.1.118:61292    151.101.132.64:443     ESTABLISHED     8660
  TCP    192.168.1.118:61299    185.106.33.48:443      ESTABLISHED     8660
  TCP    192.168.1.118:61303    93.184.220.29:80       TIME_WAIT       0
  TCP    192.168.1.118:61309    77.234.45.212:80       TIME_WAIT       0
  TCP    192.168.1.118:61313    142.250.184.163:443    TIME_WAIT       0
  TCP    192.168.1.118:61325    142.250.200.131:443    TIME_WAIT       0
  TCP    192.168.1.118:62259    64.74.17.210:443       ESTABLISHED     4276
  TCP    192.168.1.118:62260    20.54.37.64:443        ESTABLISHED     4184
  TCP    192.168.1.118:64734    20.54.37.64:443        ESTABLISHED     4184
  TCP    192.168.1.118:64832    5.62.53.53:80          ESTABLISHED     2472
  TCP    192.168.1.118:65441    77.234.43.211:80       ESTABLISHED     2472
  TCP    [::]:135               [::]:0                 LISTENING       1068
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       4856
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       2480
  TCP    [::]:8082              [::]:0                 LISTENING       15952
  TCP    [::]:33060             [::]:0                 LISTENING       4856
  TCP    [::]:35729             [::]:0                 LISTENING       15952
  TCP    [::]:49664             [::]:0                 LISTENING       660
  TCP    [::]:49665             [::]:0                 LISTENING       988
  TCP    [::]:49666             [::]:0                 LISTENING       1544
  TCP    [::]:49667             [::]:0                 LISTENING       1376
  TCP    [::]:49668             [::]:0                 LISTENING       3484
  TCP    [::]:49676             [::]:0                 LISTENING       412
  TCP    [::]:60914             [::]:0                 LISTENING       15952
  TCP    [::]:60919             [::]:0                 LISTENING       15952
  TCP    [::]:60921             [::]:0                 LISTENING       15952
  TCP    [::1]:3306             [::1]:50152            ESTABLISHED     4856
  TCP    [::1]:3306             [::1]:50153            ESTABLISHED     4856
  TCP    [::1]:12025            [::]:0                 LISTENING       2472
  TCP    [::1]:12110            [::]:0                 LISTENING       2472
  TCP    [::1]:12119            [::]:0                 LISTENING       2472
  TCP    [::1]:12143            [::]:0                 LISTENING       2472
  TCP    [::1]:12465            [::]:0                 LISTENING       2472
  TCP    [::1]:12563            [::]:0                 LISTENING       2472
  TCP    [::1]:12993            [::]:0                 LISTENING       2472
  TCP    [::1]:12995            [::]:0                 LISTENING       2472
  TCP    [::1]:27275            [::]:0                 LISTENING       2472
  TCP    [::1]:50152            [::1]:3306             ESTABLISHED     3180
  TCP    [::1]:50153            [::1]:3306             ESTABLISHED     3180
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61205  [2a00:1450:4003:806::2004]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61206  [2a00:1450:4003:806::2004]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61207  [2a00:1450:4003:806::2004]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61209  [2a00:1450:4003:80d::2002]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61210  [2a00:1450:4003:80c::2003]:80  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61212  [2001:8a0:210b:11::c241:1822]:80  TIME_WAIT       0
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61216  [2606:4700::6811:180e]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61228  [2606:4700::6812:18f6]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61242  [2600:9000:21d6:6e00:c:abe:f440:93a1]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61248  [2600:9000:21d6:2600:6:8656:f5c0:93a1]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61249  [2a00:1450:4003:80d::2002]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61251  [2600:9000:21d6:6200:1d:85c3:6640:93a1]:443  ESTABLISHED     8660
  TCP    [2001:8a0:fdf7:bd00:617c:bad3:3213:1442]:61257  [2600:9000:21d6:2600:6:8656:f5c0:93a1]:443  ESTABLISHED     8660
